i	c_i	d_i	t_i	n_i
1	0	1	-0.5	1.2533547935523E-02
2	0	1	0.875	7.8957634722828E+00
3	0	1	1	-8.7803203303561E+00
4	0	2	0.5	3.1802509345418E-01
5	0	2	0.75	-2.6145533859358E-01
6	0	3	0.375	-7.8199751687981E-03
7	0	4	1	8.8089493102134E-03
8	1	1	4	-6.6856572307965E-01
9	1	1	6	2.0433810950965E-01
10	1	1	12	-6.6212605039687E-05
11	1	2	1	-1.9232721156002E-01
12	1	2	5	-2.5709043003438E-01
13	1	3	4	1.6074868486251E-01
14	1	4	2	-4.0092828925807E-02
15	1	4	13	3.9343422603254E-07
16	1	5	9	-7.5941377088144E-06
17	1	7	3	5.6250979351888E-04
18	1	9	4	-1.5608652257135E-05
19	1	10	11	1.1537996422951E-09
20	1	11	4	3.6582165144204E-07
21	1	13	13	-1.3251180074668E-12
22	1	15	1	-6.2639586912454E-10
23	2	1	7	-1.0793600908932E-01
24	2	2	1	1.7611491008752E-02
25	2	2	9	2.2132295167546E-01
26	2	2	10	-4.0247669763528E-01
27	2	3	10	5.8083399985759E-01
28	2	4	3	4.9969146990806E-03
29	2	4	7	-3.1358700712549E-02
30	2	4	10	-7.4315929710341E-01
31	2	5	10	4.7807329915480E-01
32	2	6	6	2.0527940895948E-02
33	2	6	10	-1.3636435110343E-01
34	2	7	10	1.4180634400617E-02
35	2	9	1	8.3326504880713E-03
36	2	9	2	-2.9052336009585E-02
37	2	9	3	3.8615085574206E-02
38	2	9	4	-2.0393486513704E-02
39	2	9	8	-1.6554050063734E-03
40	2	10	6	1.9955571979541E-03
41	2	10	9	1.5870308324157E-04
42	2	12	8	-1.6388568342530E-05
43	3	3	16	4.3613615723811E-02
44	3	4	22	3.4994005463765E-02
45	3	4	23	-7.6788197844621E-02
46	3	5	23	2.2446277332006E-02
47	4	14	10	-6.2689710414685E-05
48	6	3	50	-5.5711118565645E-10
49	6	6	44	-1.9905718354408E-01
50	6	6	46	3.1777497330738E-01
51	6	6	50	-1.1841182425981E-01
